initial_days_late,time_between_applications,fraction_paid_per_installment,ratio_between_loans,species
0,87,0.08974359,1.871794872,0
156,0,0.04,1,0
0,142,0.09,2.32,0
34,0,0.11,1,0
0,92,0.09,1.92,1
0,59,0.18,2.01,0
0,72,0.18,1.88,0
0,0,0.06,1,0
0,60,0.17,2.2,1
-1,99,0.08,1.98,1
0,0,0.03,1,0
9,0,0.056,1,0
0,56,0.171717172,1.888888889,0
1,18,0.202531646,1,0
1,121,0.08,1.87,0
0,-350,0.020986359,1.050367261,1
-9,68,0.17,1.94,0
0,0,0.06,1,0
0,44,0.06,3.23,1
0,79,0.18,1.89,0
-2,156,0.05,1.81,0
0,0,0.01,1,0
0,90,0.11,1.87,0
-10,176,0.04,1.82,0
0,28,0.201111111,6.777777778,1
-11,74,0.03,2.18,1
0,331,0.02,0.9,1
0,117,0.04,1.81,0
6,254,0.07,1.5,0
-3,56,0.18,1.89,0
0,67,0.11,1.89,0
0,0,0.03,1,0
0,76,0.13,2.45,0
0,117,0.07,1.81,1
6,60,0.18,1.89,0
40,134,0.02,0.91,0
0,83,0.1,1.94,0
-1,58,0.13,1.89,0
0,53,0.17,0.97,0
1,223,0.04,0.9,0
0,99,0.13,1.05,0
0,107,0.02,2.99,1
0,43,0.18,1.89,0
1,76,0.12,1,0
31,61,0.17,0.99,1
4,85,0.11,1.91,0
0,214,0.05,1.94,0
0,71,0.18,2.28,0
0,210,0.02,1.9,0
0,75,0.18,2,0
0,64,0.18,1.81,0
-2,0,0.1,1,0
-8,97,0.02,2.32,1
6,163,0.03,1.81,0
0,169,0.05,1.91,1
0,0,0.05,1,0
0,232,0.02,1,0
8,83,0.18,1,0
0,136,0.07,2.12,1
0,0,0.043478261,1,0
0,216,0.06,1.5,0
0,54,0.18,1.81,0
0,225,0.036026763,1.108080288,0
152,0,0.04,1,0
5,-490,0.197976879,2.25433526,0
0,0,0.03,1,0
0,105,0.08,2.14,0
0,56,0.17,1.91,0
-4,0,0.03,1,0
0,204,0.06,1.5,0
-7,0,0.010992063,1,0
0,75,0.23,2.33,0
-1,69,0.2,2.973333333,0
-7,348,0.1,7.6,0
-2,0,0.04040404,1,0
0,123,0.08,1.9,0
151,0,0.05,1,0
144,194,0.05,1.93,0
-5,0,0.0101,1,0
6,0,0.06,1,0
-1,301,0.02,1.36,1
14,272,0.05,2,1
0,93,0.17,2,0
0,67,0.23,2.33,0
7,0,0.03,1,0
-1,46,0.18,0.98,0
-7,0,0.07555,1,1
-3,0,0.037554919,1,0
0,65,0.24,2.32,1
0,72,0.16,4.76,1
0,51,0.14,2,0
1,189,0.081632653,2.316326531,0
4,86,0.1,1.94,0
200,680,0,1.270155587,0
0,0,0.04,1,0
0,0,0.03271028,1,0
0,72,0.18,3.96,0
0,85,0.1,1.91,0
0,354,0.03,0.96,1
0,0,0.05,1,0
133,0,0.03,1,0
-6,87,0.23,1.16,0
0,43,0.19,1.91,1
0,0,0.033333333,1,0
0,274,0.02,2.27,1
-6,45,0.19,1.94,1
0,78,0.19,5.805,1
0,0,0.05,1,0
0,43,0.19,1.94,1
0,77,0.16,1.5,0
-4,0,0.033333333,1,0
-1,0,0.08,1,0
-1,183,0.04,0.99,0
0,107,0.01980198,1.858085809,1
0,0,0.184,1,0
0,0,0.05,1,0
0,210,0.028846154,1.846153846,0
0,69,0.14,2,0
0,73,0.23,1.5,0
-5,151,0.23,2.32,0
0,0,0.19,1,0
-2,72,0.15,3.72,0
0,153,0.08,1.98,0
-8,0,0.02,1,0
0,0,0.19,1,0
0,0,0.19,1,0
0,0,0.04,1,0
-8,-261,0.1008,1,0
0,117,0.08,0.98,1
0,151,0.05,1.99,0
0,86,0.2,2,0
0,176,0.02,2.18,0
0,369,0.009868421,1.394736842,0
0,0,0.04,1,0
0,0,0.08,1,0
0,100,0.064,1.992,0
8,157,0.05,1.5,0
-8,0,0.04,1,0
0,226,0.038062284,1.44982699,0
0,0,0.04,1,1
-1,84,0.1,2.12,0
0,351,0.05,2.01,1
0,0,0.033333333,1,0
1,0,0.19,1,0
-6,0,0.025,1,0
0,166,0.075,1.985,0
-2,0,0.016,1,0
0,0,0.073333333,1,0
-1,0,0.013333333,1,0
-2,46,0.08,2.94,0
0,0,0.066666667,1,0
4,0,0.02020202,1,0
-1,242,0.033333333,2.006666667,1
7,102,0.157894737,1.989473684,1
-1,82,0.035714286,0.943452381,0
0,126,0.11409396,1.993288591,0
0,0,0.021164021,1,0
14,59,0.02,3,0
0,0,0.066666667,1,0
23,342,0.033333333,1.006666667,1
4,275,0.06,1.93,1
73,0,0.02,1,0
0,0,0.04,1,0
0,82,0.1,3.46,1
0,195,0.041825095,0.954372624,0
2,120,0.075,1.99,0
0,0,0.015,1,0
0,0,0.066666667,1,0
-4,0,0.066866667,1,0
6,0,0.02,1,0
-1,0,0.035971223,1,0
-1,292,0.106666667,0.953333333,1
0,118,0.068627451,1.477124183,0
0,0,0.025,1,0
-1,-341,0.074204947,0.537102473,1
0,0,0.04,1,0
23,0,0.026666667,1,0
-1,98,0.02970297,0.98679868,0
0,303,0.075,1.505,1
0,0,0.025,1,0
0,136,0.052466667,2.14,1
12,102,0.1,2.98,0
-1,98,0.013186813,1.035164835,0
24,104,0.2,0.993333333,0
-8,335,0.02,1.61,1
-3,0,0.06,1,0
-3,0,0.04,1,0
0,372,0.015828678,1.567970205,1
-2,127,0.075,2.185,1
0,95,0.0026,1.79,1
0,0,0.04,1,0
2,134,0.02,1.505,1
111,0,0.024422033,1,0
0,40,0.2,2.98,0
-1,95,0.046666667,2.3,0
-1,44,0.16,1.98,0
0,15,0.029126214,1,0
-4,108,0.005,1.985,1
-4,0,0.005,1,0
0,0,0.075,1,0
0,0,0.033922414,1,0
108,0,0.063318966,1,0
30,0,0.005,1,0
0,0,0.03,1,0
-11,0,0.025,1,0
-3,0,0.02,1,0
7,0,0.013333333,1,0
-6,0,0.025,1,0
-1,0,0.013333333,1,0
0,0,0.02,1,0
15,0,0.04,1,0
2,66,0.2,1,0
-7,138,0.0134,2.273333333,1
-4,0,0.075,1,0
0,0,0.083591331,1,0
0,86,0.168918919,2.952702703,0
0,0,0.06,1,0
-2,0,0.065,1,0
-8,0,0.03,1,0
200,0,0,1,0
1,125,0.093333333,0.973333333,1
9,132,0.2007,1.92,0
0,0,0.087466667,1,0
0,0,0.04,1,0
-1,0,0.06,1,1
