Index,Median_timeDelay,StandardDev_timeDelay,Skew_timeDelay,kurtosis_timeDelay,StandardDeviation_payDifference,Loan_Ratio,Difference_Applied_Dates,Ratio_Proposal_Lengths,FirstLoan_FirstInstallment_timeDifference,Amount_First_Loan_usd,lender_interest_rate,Days_between_Application_Distribution
0,0,2.110579412,-2.846049894,6.1,0,1.871794872,87,0.838137472,0,78,0,11
1,0,0,0,-3,0,1.87,51,0.887804878,0,100,0,12
2,3.5,3.335416016,0,0,0,0.94,116,0.350318471,9,100,0,12
3,3.5,3.335416016,0,0,0,0.94,116,0.350318471,2,100,0,12
4,15.5,21.51866047,1.65923431,2.982619101,0,0.91,338,0.574923547,0,100,0,5
5,15.5,21.51866047,1.65923431,2.982619101,0,0.91,338,0.574923547,7,100,0,5
6,0,0.36313652,2.041241452,2.166666667,0,1.98,125,0.595387841,0,100,0,22
7,0,3.58766568,1.666495461,6.118096231,0,1.212121212,160,0.907327586,0,99,0,5
8,0,3.58766568,1.666495461,6.118096231,0,1.212121212,160,0.907327586,0,99,0,5
9,6,28.15433655,0,0,0,3,189,1.171548117,5,50,0,8
10,6,28.15433655,0,0,0,3,189,1.171548117,12,50,0,8
11,0,0.40824829,1.788854382,1.2,0,1.87,68,1.041666667,1,100,0,16
12,0,0.40824829,1.788854382,1.2,0,1.87,68,1.041666667,0,100,0,16
13,0,0.40824829,1.788854382,1.2,0,2.14,66,1.42,0,100,0,12
14,0,0,0,-3,0,1.888888889,64,1.666666667,0,99,0,4
15,0,1.538716042,2.101831712,2.819065622,0,1.86,146,1.315581854,0,100,0,17
16,-34,34.10372894,-0.280191079,-1.304080392,0,1.01,76,0.644371941,0,100,0,17
17,-34,34.10372894,-0.280191079,-1.304080392,0,1.01,76,0.644371941,2,100,0,17
18,1,1.345185418,0.615800128,-1.283240997,0,1.8,83,1,1,100,0,10
19,1,1.345185418,0.615800128,-1.283240997,0,1.8,83,1,0,100,0,10
20,0,0,0,-3,0,1.86,62,0.60515873,0,100,0,20
21,0,0,0,-3,0,1.94,71,0.913525499,0,100,0,16
22,1,4.226897996,0.567316578,-1.5,0,1.82,342,0.153452685,-1,50,0,8
23,1,4.226897996,0.567316578,-1.5,0,1.82,342,0.153452685,8,50,0,8
24,0,0,0,-3,0,0.93,44,1.053404539,0,100,0,20
25,-7,11.07474605,0,0,0,1.86,108,0.714539007,0,100,0,16
